#,Country,Life Expectancy  (both sexes) ,Females  Life Expectancy ,Males  Life Expectancy
159,Namibia,67.52,71.48,63.45
160,Fiji,67.46,69.54,65.47
161,Tanzania,67.21,70.00,64.40
162,Myanmar,67.10,70.38,63.99
163,Comoros,67.02,69.20,65.02
164,Kiribati,66.60,68.32,64.69
165,Zambia,66.53,68.87,64.10
166,Sudan,66.52,69.83,63.45
167,South Africa,66.31,69.79,62.78
168,Afghanistan,66.29,67.81,64.70
169,Papua New Guinea,66.26,69.21,63.84
170,Djibouti,66.20,68.74,63.73
171,Gambia,66.06,67.75,64.35
172,Congo,66.00,67.72,64.33
173,Ghana,65.70,68.16,63.31
174,Haiti,65.12,68.49,61.90
175,Angola,64.81,67.34,62.28
176,Eswatini,64.26,67.11,61.32
177,Guinea-Bissau,64.25,66.55,61.82
178,Cameroon,63.97,66.23,61.78
179,Equatorial Guinea,63.91,65.89,62.22
180,Madagascar,63.84,65.60,62.12
181,Kenya,63.83,66.12,61.64
182,Burundi,63.82,65.88,61.75
183,Mozambique,63.80,66.74,60.49
184,Zimbabwe,63.06,65.31,60.49
185,Togo,62.93,63.15,62.70
186,Liberia,62.32,63.63,61.02
187,Côte d'Ivoire,62.11,64.31,60.17
188,DR Congo,62.07,64.23,59.96
189,Sierra Leone,61.96,63.70,60.23
190,Niger,61.43,62.41,60.49
191,Burkina Faso,61.29,63.43,59.11
192,Benin,60.96,62.42,59.52
193,Guinea,60.90,62.09,59.66
194,Mali,60.68,62.15,59.25
195,Somalia,58.97,61.55,56.49
196,Lesotho,57.80,60.44,55.03
197,South Sudan,57.74,60.75,54.76
198,Central African Republic,57.67,59.56,55.51
199,Chad,55.24,57.19,53.36
200,Nigeria,54.64,54.94,54.33
