name,slug, deaths/1,000 population,date_of_information,ranking,region
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","7.6","2024",98,"Africa"
"Angola","angola","7.6","2024",99,"Africa"
"Jamaica","jamaica","7.5","2024",100,"Central America and the Caribbean"
"Sri Lanka","sri-lanka","7.5","2024",101,"South Asia"
"Cameroon","cameroon","7.4","2024",102,"Africa"
"Albania","albania","7.4","2024",103,"Europe"
"Ireland","ireland","7.4","2024",104,"Europe"
"Korea, South","korea-south","7.4","2024",105,"East and Southeast Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","7.4","2024",106,"Central America and the Caribbean"
"Argentina","argentina","7.3","2024",107,"South America"
"Burma","burma","7.3","2024",108,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","7.3","2024",109,"Africa"
"Burkina Faso","burkina-faso","7.3","2024",110,"Africa"
"Haiti","haiti","7.3","2024",111,"Central America and the Caribbean"
"Kosovo","kosovo","7.2","2024",112,"Europe"
"Ecuador","ecuador","7.2","2024",113,"South America"
"Guinea-Bissau","guinea-bissau","7.2","2024",114,"Africa"
"Mauritania","mauritania","7.2","2024",115,"Africa"
"Luxembourg","luxembourg","7.1","2024",116,"Europe"
"Namibia","namibia","7.1","2024",117,"Africa"
"Dominican Republic","dominican-republic","7.1","2024",118,"Central America and the Caribbean"
"Brazil","brazil","7","2024",119,"South America"
"Djibouti","djibouti","7","2024",120,"Africa"
"Seychelles","seychelles","7","2024",121,"Africa"
"Guyana","guyana","7","2024",122,"South America"
"Cyprus","cyprus","7","2024",123,"Europe"
"South Africa","south-africa","6.9","2024",124,"Africa"
"Kiribati","kiribati","6.9","2024",125,"Australia and Oceania"
"New Zealand","new-zealand","6.9","2024",126,"Australia and Oceania"
"Australia","australia","6.8","2024",127,"Australia and Oceania"
"Indonesia","indonesia","6.8","2024",128,"East and Southeast Asia"
"Suriname","suriname","6.7","2024",129,"South America"
"Bolivia","bolivia","6.6","2024",130,"South America"
"Morocco","morocco","6.6","2024",131,"Africa"
"Iceland","iceland","6.6","2024",132,"Europe"
"Chile","chile","6.6","2024",133,"South America"
"Mexico","mexico","6.5","2024",134,"North America"
"Fiji","fiji","6.5","2024",135,"Australia and Oceania"
"Zimbabwe","zimbabwe","6.5","2024",136,"Africa"
"Venezuela","venezuela","6.5","2024",137,"South America"
"Nauru","nauru","6.5","2024",138,"Australia and Oceania"
"Eritrea","eritrea","6.5","2024",139,"Africa"
"Comoros","comoros","6.4","2024",140,"Africa"
"Sint Maarten","sint-maarten","6.4","2024",141,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","6.4","2024",142,"Middle East"
"Tunisia","tunisia","6.4","2024",143,"Africa"
"Mongolia","mongolia","6.4","2024",144,"East and Southeast Asia"
"American Samoa","american-samoa","6.3","2024",145,"Australia and Oceania"
"Philippines","philippines","6.2","2024",146,"East and Southeast Asia"
"Laos","laos","6.2","2024",147,"East and Southeast Asia"
"Sudan","sudan","6.1","2024",148,"Africa"
"Cayman Islands","cayman-islands","6.1","2024",149,"Central America and the Caribbean"
"Guam","guam","6.1","2024",150,"Australia and Oceania"
"Turkey (Turkiye)","turkey-turkiye","6.1","2024",151,"Middle East"
"Kyrgyzstan","kyrgyzstan","6","2024",152,"Central Asia"
"Wallis and Futuna","wallis-and-futuna","6","2024",153,"Australia and Oceania"
"Turkmenistan","turkmenistan","6","2024",154,"Central Asia"
"Sao Tome and Principe","sao-tome-and-principe","6","2024",155,"Africa"
"Montserrat","montserrat","6","2024",156,"Central America and the Caribbean"
"New Caledonia","new-caledonia","6","2024",157,"Australia and Oceania"
"Bhutan","bhutan","5.9","2024",158,"South Asia"
"Pakistan","pakistan","5.9","2024",159,"South Asia"
"Zambia","zambia","5.9","2024",160,"Africa"
"El Salvador","el-salvador","5.9","2024",161,"Central America and the Caribbean"
"Ghana","ghana","5.9","2024",162,"Africa"
"Madagascar","madagascar","5.8","2024",163,"Africa"
"Ethiopia","ethiopia","5.8","2024",164,"Africa"
"Vietnam","vietnam","5.8","2024",165,"East and Southeast Asia"
"Malaysia","malaysia","5.8","2024",166,"East and Southeast Asia"
"French Polynesia","french-polynesia","5.8","2024",167,"Australia and Oceania"
"Cabo Verde","cabo-verde","5.7","2024",168,"Africa"
"Rwanda","rwanda","5.7","2024",169,"Africa"
"Panama","panama","5.7","2024",170,"Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","5.7","2024",171,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","5.7","2024",172,"Australia and Oceania"
"Cambodia","cambodia","5.7","2024",173,"East and Southeast Asia"
"Burundi","burundi","5.7","2024",174,"Africa"
"Bahamas, The","bahamas-the","5.6","2024",175,"Central America and the Caribbean"
"Lebanon","lebanon","5.6","2024",176,"Middle East"
"Gambia, The","gambia-the","5.6","2024",177,"Africa"
"Nepal","nepal","5.6","2024",178,"South Asia"
"Bangladesh","bangladesh","5.5","2024",179,"South Asia"
"Timor-Leste","timor-leste","5.5","2024",180,"East and Southeast Asia"
"Gabon","gabon","5.5","2024",181,"Africa"
"Yemen","yemen","5.5","2024",182,"Middle East"
"British Virgin Islands","british-virgin-islands","5.5","2024",183,"Central America and the Caribbean"
"Samoa","samoa","5.4","2024",184,"Australia and Oceania"
"Honduras","honduras","5.4","2024",185,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","5.4","2024",186,"East and Southeast Asia"
"Iran","iran","5.3","2024",187,"Middle East"
"Costa Rica","costa-rica","5.3","2024",188,"Central America and the Caribbean"
"Israel","israel","5.2","2024",189,"Middle East"
"Uzbekistan","uzbekistan","5.1","2024",190,"Central Asia"
"Nicaragua","nicaragua","5.1","2024",191,"Central America and the Caribbean"
"Togo","togo","5.1","2024",192,"Africa"
"Tanzania","tanzania","5","2024",193,"Africa"
"Belize","belize","5","2024",194,"Central America and the Caribbean"
"Tonga","tonga","5","2024",195,"Australia and Oceania"
"Paraguay","paraguay","4.9","2024",196,"South America"
"Macau","macau","4.9","2024",197,"East and Southeast Asia"
"Senegal","senegal","4.9","2024",198,"Africa"
"Kenya","kenya","4.9","2024",199,"Africa"
"Guatemala","guatemala","4.9","2024",200,"Central America and the Caribbean"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","4.9","2012",201,"South America"
"Saint Martin","saint-martin","4.8","2024",202,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","4.8","2024",203,"Africa"
"Anguilla","anguilla","4.7","2024",204,"Central America and the Caribbean"
"Tajikistan","tajikistan","4.7","2024",205,"Central Asia"
"Uganda","uganda","4.7","2024",206,"Africa"
"Malawi","malawi","4.5","2024",207,"Africa"
"Algeria","algeria","4.4","2024",208,"Africa"
"Singapore","singapore","4.3","2024",209,"East and Southeast Asia"
"Maldives","maldives","4.3","2024",210,"South Asia"
"Marshall Islands","marshall-islands","4.3","2024",211,"Australia and Oceania"
"Egypt","egypt","4.3","2024",212,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","4.2","2024",213,"Australia and Oceania"
"Syria","syria","4","2024",214,"Middle East"
"Vanuatu","vanuatu","4","2024",215,"Australia and Oceania"
"Solomon Islands","solomon-islands","3.9","2024",216,"Australia and Oceania"
"Iraq","iraq","3.9","2024",217,"Middle East"
"Brunei","brunei","3.9","2024",218,"East and Southeast Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","3.6","2024",219,"Central America and the Caribbean"
"Saudi Arabia","saudi-arabia","3.5","2024",220,"Middle East"
"Libya","libya","3.5","2024",221,"Africa"
"Jordan","jordan","3.5","2024",222,"Middle East"
"West Bank","west-bank","3.3","2024",223,"Middle East"
"Oman","oman","3.2","2024",224,"Middle East"
"Gaza Strip","gaza-strip","2.9","2024",225,"Middle East"
"Bahrain","bahrain","2.8","2024",226,"Middle East"
"Kuwait","kuwait","2.3","2024",227,"Middle East"
"United Arab Emirates","united-arab-emirates","1.7","2024",228,"Middle East"
"Qatar","qatar","1.4","2024",229,"Middle East"
