name,iso3,capital,currency,population
New Zealand,NZL,Wellington,NZD,"4,838,834"
Nicaragua,NIC,Managua,NIO,"6,658,149"
Niger,NER,Niamey,XOF,"24,594,403"
Nigeria,NGA,Abuja,NGN,"208,355,710"
Norway,NOR,Oslo,NOK,"5,439,201"
Oman,OMN,Muscat,OMR,"5,163,135"
Pakistan,PAK,Islamabad,PKR,"222,741,498"
Palau,PLW,Melekeok,USD,"18,130"
Panama,PAN,Panama City,PAB,"4,343,889"
Papua New Guinea,PNG,Port Moresby,PGK,"17,150,845"
Paraguay,PRY,Asuncion,PYG,"7,169,948"
Peru,PER,Lima,PEN,"33,168,487"
Philippines,PHL,Manila,PHP,"110,204,906"
Poland,POL,Warsaw,PLN,"37,829,259"
Portugal,PRT,Lisbon,EUR,"10,184,296"
Qatar,QAT,Doha,QAR,"2,901,976"
Romania,ROU,Bucharest,RON,"19,184,408"
Russia,RUS,Moscow,RUB,"145,960,720"
Rwanda,RWA,Kigali,RWF,"13,091,980"
Saint Lucia,LCA,Castries,XCD,"183,981"
Saint Vincent And The Grenadines,VCT,Kingstown,XCD,"111,088"
Samoa,WSM,Apia,WST,"198,972"
San Marino,SMR,San Marino,EUR,"33,961"
Sao Tome and Principe,STP,Sao Tome,STD,"220,914"
Saudi Arabia,SAU,Riyadh,SAR,"35,046,623"
Senegal,SEN,Dakar,XOF,"16,936,487"
Serbia,SRB,Belgrade,RSD,"8,722,698"
Seychelles,SYC,Victoria,SCR,"98,605"
Sierra Leone,SLE,Freetown,SLL,"8,047,131"
Singapore,SGP,Singapur,SGD,"5,869,869"
Slovakia,SVK,Bratislava,EUR,"5,460,752"
Slovenia,SVN,Ljubljana,EUR,"2,079,058"
Solomon Islands,SLB,Honiara,SBD,"694,217"
Somalia,SOM,Mogadishu,SOS,"16,087,259"
South Africa,ZAF,Pretoria,ZAR,"59,628,390"
South Sudan,SSD,Juba,SSP,"11,249,761"
Spain,ESP,Madrid,EUR,"46,762,381"
Sri Lanka,LKA,Colombo,LKR,"21,451,157"
Sudan,SDN,Khartoum,SDG,"44,294,189"
Suriname,SUR,Paramaribo,SRD,"588,867"
Swaziland,SWZ,Mbabane,SZL,"1,165,287"
Sweden,SWE,Stockholm,SEK,"10,125,943"
Switzerland,CHE,Berne,CHF,"8,681,478"
Syria,SYR,Damascus,SYP,"17,685,746"
Taiwan,TWN,Taipei,TWD,"23,834,918"
Tajikistan,TJK,Dushanbe,TJS,"9,630,651"
Tanzania,TZA,Dodoma,TZS,"60,479,818"
Thailand,THA,Bangkok,THB,"69,873,773"
Togo,TGO,Lome,XOF,"8,363,092"
Tonga,TON,Nuku'alofa,TOP,"106,206"
Trinidad And Tobago,TTO,Port of Spain,TTD,0
Tunisia,TUN,Tunis,TND,0
Turkey,TUR,Ankara,TRY,"84,726,208"
Turkmenistan,TKM,Ashgabat,TMT,"6,069,243"
Tuvalu,TUV,Funafuti,AUD,"11,854"
Uganda,UGA,Kampala,UGX,"46,377,077"
Ukraine,UKR,Kiev,UAH,"43,624,462"
United Arab Emirates,ARE,Abu Dhabi,AED,"9,941,469"
United Kingdom,GBR,London,GBP,"68,036,854"
United States,USA,Washington,USD,"331,825,014"
Uruguay,URY,Montevideo,UYU,"3,478,809"
Uzbekistan,UZB,Tashkent,UZS,"33,677,231"
Vanuatu,VUT,Port Vila,VUV,"310,265"
Venezuela,VEN,Caracas,VEF,"28,402,272"
Vietnam,VNM,Hanoi,VND,"97,702,766"
Yemen,YEM,Sanaa,YER,"30,110,883"
Zambia,ZMB,Lusaka,ZMK,"18,609,335"
Zimbabwe,ZWE,Harare,ZWL,"14,955,711"
